Station,Date,Year,SEASON,Avg_Soil_Water_Content,Hum_Avg
Mature forest,12-Mar-13,One,DRY,0.041,58.861
Mature forest,13-Mar-13,One,DRY,0.033,59.598
Mature forest,14-Mar-13,One,DRY,0.025,59.437
Mature forest,15-Mar-13,One,DRY,0.02,58.257
Mature forest,16-Mar-13,One,DRY,0.015,53.665
Mature forest,17-Mar-13,One,DRY,0.012,43.573
Mature forest,18-Mar-13,One,DRY,0.009,50.291
Mature forest,19-Mar-13,One,DRY,0.007,41.239
Mature forest,20-Mar-13,One,DRY,0.005,43.101
Mature forest,21-Mar-13,One,DRY,0.003,44.543
Mature forest,22-Mar-13,One,DRY,0.001,45.663
Mature forest,23-Mar-13,One,DRY,-0.0002,42.572
Mature forest,24-Mar-13,One,DRY,-0.002,43.54
Mature forest,25-Mar-13,One,DRY,-0.003,41.359
Mature forest,26-Mar-13,One,DRY,-0.004,44.558
Mature forest,27-Mar-13,One,DRY,-0.005,44.863
Mature forest,28-Mar-13,One,DRY,-0.006,40.885
Mature forest,29-Mar-13,One,DRY,-0.006,40.996
Mature forest,30-Mar-13,One,DRY,-0.005,51.418
Mature forest,31-Mar-13,One,DRY,-0.005,56.966
Mature forest,01-Apr-13,One,DRY,-0.005,59.052
Mature forest,02-Apr-13,One,DRY,-0.005,61.787
Mature forest,03-Apr-13,One,DRY,-0.004,44.965
Mature forest,04-Apr-13,One,DRY,-0.005,39.371
Mature forest,05-Apr-13,One,DRY,-0.005,45.788
Mature forest,06-Apr-13,One,DRY,-0.005,48.326
Mature forest,07-Apr-13,One,DRY,-0.006,33.978
Mature forest,08-Apr-13,One,DRY,-0.006,35.757
Mature forest,09-Apr-13,One,DRY,-0.006,46.566
Mature forest,10-Apr-13,One,DRY,0.046,68.662
Mature forest,11-Apr-13,One,DRY,0.032,64.151
Mature forest,12-Apr-13,One,DRY,0.013,72.684
Mature forest,13-Apr-13,One,DRY,0.005,84.632
Mature forest,14-Apr-13,One,DRY,0.002,87.868
Mature forest,15-Apr-13,One,DRY,0.017,84.524
Mature forest,16-Apr-13,One,DRY,0.168,87.662
Mature forest,17-Apr-13,One,DRY,0.098,66.592
Mature forest,18-Apr-13,One,DRY,0.058,60.096
Mature forest,19-Apr-13,One,DRY,0.037,55.136
Mature forest,20-Apr-13,One,DRY,0.025,44.102
Mature forest,21-Apr-13,One,DRY,0.017,60.07
Mature forest,22-Apr-13,One,DRY,0.013,69.951
Mature forest,23-Apr-13,One,DRY,0.036,72.81
Mature forest,24-Apr-13,One,DRY,0.126,80.84
Mature forest,25-Apr-13,One,DRY,0.066,77.944
Mature forest,26-Apr-13,One,DRY,0.154,82.082
Mature forest,27-Apr-13,One,DRY,0.094,67.345
Mature forest,28-Apr-13,One,DRY,0.178,80.537
Mature forest,29-Apr-13,One,DRY,0.199,71.07
Mature forest,30-Apr-13,One,DRY,0.144,67.578
Open land,01-Feb-13,One,DRY,0.134,74.996
Open land,02-Feb-13,One,DRY,0.126,85.753
Open land,03-Feb-13,One,DRY,0.127,87.542
Open land,04-Feb-13,One,DRY,0.127,82.194
Open land,05-Feb-13,One,DRY,0.116,69.254
Open land,06-Feb-13,One,DRY,0.105,55.623
Open land,07-Feb-13,One,DRY,0.095,48.509
Open land,08-Feb-13,One,DRY,0.086,53.226
Open land,09-Feb-13,One,DRY,0.079,67.486
Open land,10-Feb-13,One,DRY,0.074,79.894
Open land,11-Feb-13,One,DRY,0.07,77.052
Open land,12-Feb-13,One,DRY,0.066,76.368
Open land,13-Feb-13,One,DRY,0.062,86.087
Open land,14-Feb-13,One,DRY,0.13,85.315
Open land,15-Feb-13,One,DRY,0.114,76.288
Open land,16-Feb-13,One,DRY,0.101,78.989
Open land,17-Feb-13,One,DRY,0.091,82.146
Open land,18-Feb-13,One,DRY,0.083,76.155
Open land,19-Feb-13,One,DRY,0.076,69.644
Open land,20-Feb-13,One,DRY,0.068,71.915
Open land,21-Feb-13,One,DRY,0.063,82.437
Open land,22-Feb-13,One,DRY,0.06,84.654
Open land,23-Feb-13,One,DRY,0.057,88.294
Open land,24-Feb-13,One,DRY,0.056,82.209
Open land,25-Feb-13,One,DRY,0.053,82.676
Open land,26-Feb-13,One,DRY,0.049,67.121
Open land,27-Feb-13,One,DRY,0.044,52.893
Open land,28-Feb-13,One,DRY,0.038,41.433
Open land,01-Mar-13,One,DRY,0.032,43.488
Open land,02-Mar-13,One,DRY,0.031,59.462
Open land,03-Mar-13,One,DRY,0.029,73.531
Open land,04-Mar-13,One,DRY,0.121,92.744
Open land,05-Mar-13,One,DRY,0.101,88.866
Open land,06-Mar-13,One,DRY,0.092,86.605
Open land,07-Mar-13,One,DRY,0.083,86.724
Open land,08-Mar-13,One,DRY,0.083,89.336
Open land,09-Mar-13,One,DRY,0.141,84.29
Open land,10-Mar-13,One,DRY,0.117,68.61
Open land,11-Mar-13,One,DRY,0.103,60.258
Open land,12-Mar-13,One,DRY,0.092,64.58
Open land,13-Mar-13,One,DRY,0.082,63.188
Open land,14-Mar-13,One,DRY,0.074,65.869
Open land,15-Mar-13,One,DRY,0.066,67.271
Open land,16-Mar-13,One,DRY,0.059,64.079
Open land,17-Mar-13,One,DRY,0.053,53.692
Open land,18-Mar-13,One,DRY,0.046,57.94
Open land,19-Mar-13,One,DRY,0.04,46.725
Open land,20-Mar-13,One,DRY,0.035,50.129
Open land,21-Mar-13,One,DRY,0.031,50.682
Open land,22-Mar-13,One,DRY,0.027,54.337
Open land,23-Mar-13,One,DRY,0.024,49.687
Open land,24-Mar-13,One,DRY,0.021,51.986
Open land,25-Mar-13,One,DRY,0.018,49.193
Open land,26-Mar-13,One,DRY,0.015,55.377
Open land,27-Mar-13,One,DRY,0.012,53.753
Open land,28-Mar-13,One,DRY,0.009,48.997
Open land,29-Mar-13,One,DRY,0.007,51.146
Open land,30-Mar-13,One,DRY,0.005,64.051
Open land,31-Mar-13,One,DRY,0.029,73.977
Open land,01-Apr-13,One,DRY,0.058,71.718
Open land,02-Apr-13,One,DRY,0.046,69.531
Open land,03-Apr-13,One,DRY,0.036,56.177
Open land,04-Apr-13,One,DRY,0.028,48.476
Open land,05-Apr-13,One,DRY,0.021,50.707
Open land,06-Apr-13,One,DRY,0.016,55.663
Open land,07-Apr-13,One,DRY,0.011,43.749
Open land,08-Apr-13,One,DRY,0.007,43.927
Open land,09-Apr-13,One,DRY,0.005,53.296
Regenerating forest,01-Feb-13,One,DRY,0.09,87.394
Regenerating forest,02-Feb-13,One,DRY,0.081,93.074
Regenerating forest,03-Feb-13,One,DRY,0.08,99.677
Regenerating forest,04-Feb-13,One,DRY,0.077,91.828
Regenerating forest,05-Feb-13,One,DRY,0.073,74.755
Regenerating forest,06-Feb-13,One,DRY,0.068,68.935
Regenerating forest,07-Feb-13,One,DRY,0.064,64.881
Regenerating forest,08-Feb-13,One,DRY,0.059,61.657
Regenerating forest,09-Feb-13,One,DRY,0.057,74.594
Regenerating forest,10-Feb-13,One,DRY,0.056,83.675
Regenerating forest,11-Feb-13,One,DRY,0.055,84.045
Regenerating forest,12-Feb-13,One,DRY,0.054,82.687
Regenerating forest,13-Feb-13,One,DRY,0.054,90.723
Regenerating forest,14-Feb-13,One,DRY,0.092,94.395
Regenerating forest,15-Feb-13,One,DRY,0.067,89.924
Regenerating forest,16-Feb-13,One,DRY,0.061,85.17
Regenerating forest,17-Feb-13,One,DRY,0.057,86.572
Regenerating forest,18-Feb-13,One,DRY,0.055,80.989
Regenerating forest,19-Feb-13,One,DRY,0.052,75.284
Regenerating forest,20-Feb-13,One,DRY,0.051,78.152
Regenerating forest,21-Feb-13,One,DRY,0.05,83.486
Regenerating forest,22-Feb-13,One,DRY,0.049,91.311
Regenerating forest,23-Feb-13,One,DRY,0.049,93.253
Regenerating forest,24-Feb-13,One,DRY,0.049,90.901
Regenerating forest,25-Feb-13,One,DRY,0.049,85.42
Regenerating forest,26-Feb-13,One,DRY,0.048,69.973
Regenerating forest,27-Feb-13,One,DRY,0.045,51.31
Regenerating forest,28-Feb-13,One,DRY,0.043,47.736
Regenerating forest,01-Mar-13,One,DRY,0.041,46.056
Regenerating forest,02-Mar-13,One,DRY,0.04,64.978
Regenerating forest,03-Mar-13,One,DRY,0.039,76.437
Regenerating forest,04-Mar-13,One,DRY,0.129,99.46
Regenerating forest,05-Mar-13,One,DRY,0.078,99.224
Regenerating forest,06-Mar-13,One,DRY,0.072,95.638
Regenerating forest,07-Mar-13,One,DRY,0.068,94.365
Regenerating forest,08-Mar-13,One,DRY,0.066,95.736
Regenerating forest,09-Mar-13,One,DRY,0.076,94.935
Regenerating forest,10-Mar-13,One,DRY,0.068,78.519
Regenerating forest,11-Mar-13,One,DRY,0.064,67.716
Regenerating forest,12-Mar-13,One,DRY,0.06,67.896
Regenerating forest,13-Mar-13,One,DRY,0.056,65.414
Regenerating forest,14-Mar-13,One,DRY,0.052,68.676
Regenerating forest,15-Mar-13,One,DRY,0.05,69.619
Regenerating forest,16-Mar-13,One,DRY,0.048,65.364
Regenerating forest,17-Mar-13,One,DRY,0.045,54.385
Regenerating forest,18-Mar-13,One,DRY,0.043,56.489
Regenerating forest,19-Mar-13,One,DRY,0.039,53.42
Regenerating forest,20-Mar-13,One,DRY,0.037,51.59
Regenerating forest,21-Mar-13,One,DRY,0.035,51.214
Regenerating forest,22-Mar-13,One,DRY,0.034,57.093
Regenerating forest,23-Mar-13,One,DRY,0.033,51.776
Regenerating forest,24-Mar-13,One,DRY,0.032,51.559
Regenerating forest,25-Mar-13,One,DRY,0.031,51.362
Regenerating forest,26-Mar-13,One,DRY,0.03,54.11
Regenerating forest,27-Mar-13,One,DRY,0.03,55.73
Regenerating forest,28-Mar-13,One,DRY,0.029,47.332
Regenerating forest,29-Mar-13,One,DRY,0.028,49.311
Regenerating forest,30-Mar-13,One,DRY,0.028,58.45
Regenerating forest,31-Mar-13,One,DRY,0.027,68.279
Regenerating forest,01-Apr-13,One,DRY,0.027,66.181
Regenerating forest,02-Apr-13,One,DRY,0.027,65.749
Regenerating forest,03-Apr-13,One,DRY,0.026,54.628
Regenerating forest,04-Apr-13,One,DRY,0.025,49.405
Regenerating forest,05-Apr-13,One,DRY,0.025,53.069
Regenerating forest,06-Apr-13,One,DRY,0.024,55.411
Regenerating forest,07-Apr-13,One,DRY,0.023,42.272
Regenerating forest,08-Apr-13,One,DRY,0.022,44.099
Regenerating forest,09-Apr-13,One,DRY,0.022,51.725
Regenerating forest,10-Apr-13,One,DRY,0.037,77.936
Regenerating forest,11-Apr-13,One,DRY,0.029,74.353
Regenerating forest,12-Apr-13,One,DRY,0.028,73.04
Regenerating forest,13-Apr-13,One,DRY,0.028,81.857
Regenerating forest,14-Apr-13,One,DRY,0.026,89.716
Regenerating forest,15-Apr-13,One,DRY,0.028,84.825
Regenerating forest,16-Apr-13,One,DRY,0.081,93.177
Regenerating forest,17-Apr-13,One,DRY,0.053,82.127
Regenerating forest,18-Apr-13,One,DRY,0.048,66.643
Regenerating forest,19-Apr-13,One,DRY,0.044,61.007
Regenerating forest,20-Apr-13,One,DRY,0.039,48.792
Regenerating forest,21-Apr-13,One,DRY,0.035,62.191
Regenerating forest,22-Apr-13,One,DRY,0.032,74.125
Regenerating forest,23-Apr-13,One,DRY,0.031,74.855
Regenerating forest,24-Apr-13,One,DRY,0.03,81.801
Regenerating forest,25-Apr-13,One,DRY,0.03,76.35
Regenerating forest,26-Apr-13,One,DRY,0.029,92.043
Regenerating forest,27-Apr-13,One,DRY,0.03,75.8
Regenerating forest,28-Apr-13,One,DRY,0.07,87.467
Regenerating forest,29-Apr-13,One,DRY,0.098,89.543
Regenerating forest,30-Apr-13,One,DRY,0.063,74.082
Mature forest,01-Jun-12,One,WET,0.184,98.041
Mature forest,02-Jun-12,One,WET,0.197,99.76
Mature forest,03-Jun-12,One,WET,0.187,96.096
Mature forest,04-Jun-12,One,WET,0.173,95.45
Mature forest,05-Jun-12,One,WET,0.174,93.583
Mature forest,06-Jun-12,One,WET,0.192,93.481
Mature forest,07-Jun-12,One,WET,0.17,94.189
Mature forest,08-Jun-12,One,WET,0.172,97.924
Mature forest,09-Jun-12,One,WET,0.176,99.005
Mature forest,10-Jun-12,One,WET,0.21,98.04
Mature forest,11-Jun-12,One,WET,0.184,95.41
Mature forest,12-Jun-12,One,WET,0.167,93.759
Mature forest,13-Jun-12,One,WET,0.151,93.756
Mature forest,14-Jun-12,One,WET,0.143,92.514
Mature forest,15-Jun-12,One,WET,0.164,94.688
Mature forest,16-Jun-12,One,WET,0.215,100
Mature forest,17-Jun-12,One,WET,0.188,100
Mature forest,18-Jun-12,One,WET,0.185,98.053
Mature forest,19-Jun-12,One,WET,0.185,94.28
Mature forest,20-Jun-12,One,WET,0.171,95.313
Mature forest,21-Jun-12,One,WET,0.16,96.924
Mature forest,22-Jun-12,One,WET,0.162,96.745
Mature forest,23-Jun-12,One,WET,0.189,96.699
Mature forest,24-Jun-12,One,WET,0.192,97.647
Mature forest,25-Jun-12,One,WET,0.177,95.012
Mature forest,26-Jun-12,One,WET,0.159,94.981
Mature forest,27-Jun-12,One,WET,0.147,95.554
Mature forest,28-Jun-12,One,WET,0.161,97.602
Mature forest,29-Jun-12,One,WET,0.147,96.546
Mature forest,30-Jun-12,One,WET,0.133,97.03
Mature forest,01-Jul-12,One,WET,0.142,98.711
Mature forest,02-Jul-12,One,WET,0.168,98.12
Mature forest,03-Jul-12,One,WET,0.103,99.059
Mature forest,04-Jul-12,One,WET,0.087,95.571
Mature forest,05-Jul-12,One,WET,0.078,99.762
Mature forest,06-Jul-12,One,WET,0.077,98.739
Mature forest,07-Jul-12,One,WET,0.063,95.846
Mature forest,08-Jul-12,One,WET,0.068,98.904
Mature forest,09-Jul-12,One,WET,0.1,99.98
Mature forest,10-Jul-12,One,WET,0.079,97.444
Mature forest,11-Jul-12,One,WET,0.082,95.811
Mature forest,12-Jul-12,One,WET,0.099,98.293
Mature forest,13-Jul-12,One,WET,0.082,97.592
Mature forest,14-Jul-12,One,WET,0.064,99.825
Mature forest,15-Jul-12,One,WET,0.072,99.172
Mature forest,16-Jul-12,One,WET,0.085,99.752
Mature forest,17-Jul-12,One,WET,0.115,100
Mature forest,18-Jul-12,One,WET,0.1,100
Mature forest,19-Jul-12,One,WET,0.101,100
Mature forest,20-Jul-12,One,WET,0.104,99.743
Mature forest,21-Jul-12,One,WET,0.079,95.522
Mature forest,22-Jul-12,One,WET,0.069,97.027
Mature forest,23-Jul-12,One,WET,0.063,99.585
Mature forest,24-Jul-12,One,WET,0.089,99.914
Mature forest,25-Jul-12,One,WET,0.085,99.818
Mature forest,26-Jul-12,One,WET,0.157,100
Mature forest,27-Jul-12,One,WET,0.124,100
Mature forest,28-Jul-12,One,WET,0.087,100
Mature forest,29-Jul-12,One,WET,0.078,98.781
Mature forest,30-Jul-12,One,WET,0.071,97.085
Mature forest,31-Jul-12,One,WET,0.09,99.145
Mature forest,01-Aug-12,One,WET,0.075,98.367
Mature forest,02-Aug-12,One,WET,0.098,100
Mature forest,03-Aug-12,One,WET,0.121,100
Mature forest,04-Aug-12,One,WET,0.11,99.167
Mature forest,05-Aug-12,One,WET,0.103,95.963
Mature forest,06-Aug-12,One,WET,0.096,94.653
Mature forest,07-Aug-12,One,WET,0.123,97.401
Mature forest,08-Aug-12,One,WET,0.15,99.939
Mature forest,09-Aug-12,One,WET,0.137,99.805
Mature forest,10-Aug-12,One,WET,0.143,99.238
Mature forest,11-Aug-12,One,WET,0.124,98.718
Mature forest,12-Aug-12,One,WET,0.1,95.214
Mature forest,13-Aug-12,One,WET,0.08,96.192
Mature forest,14-Aug-12,One,WET,0.098,100
Mature forest,15-Aug-12,One,WET,0.107,100
Mature forest,16-Aug-12,One,WET,0.081,100
Mature forest,17-Aug-12,One,WET,0.078,98.242
Mature forest,18-Aug-12,One,WET,0.136,99.704
Mature forest,19-Aug-12,One,WET,0.136,100
Mature forest,20-Aug-12,One,WET,0.127,99.842
Mature forest,21-Aug-12,One,WET,0.117,99.581
Mature forest,22-Aug-12,One,WET,0.126,99.952
Mature forest,23-Aug-12,One,WET,0.111,100
Mature forest,24-Aug-12,One,WET,0.103,99.989
Mature forest,25-Aug-12,One,WET,0.093,99.839
Mature forest,26-Aug-12,One,WET,0.091,99.898
Mature forest,27-Aug-12,One,WET,0.088,99.821
Mature forest,28-Aug-12,One,WET,0.092,98.86
Mature forest,29-Aug-12,One,WET,0.086,97.237
Mature forest,30-Aug-12,One,WET,0.093,98.943
Mature forest,31-Aug-12,One,WET,0.091,99.853
Open land,01-Jun-12,One,WET,0.192,94.107
Open land,02-Jun-12,One,WET,0.203,97.965
Open land,03-Jun-12,One,WET,0.191,93.969
Open land,04-Jun-12,One,WET,0.181,91.595
Open land,05-Jun-12,One,WET,0.186,91.25
Open land,06-Jun-12,One,WET,0.195,89.844
Open land,07-Jun-12,One,WET,0.183,90.495
Open land,08-Jun-12,One,WET,0.193,94.639
Open land,09-Jun-12,One,WET,0.204,98.189
Open land,10-Jun-12,One,WET,0.21,97.888
Open land,11-Jun-12,One,WET,0.199,96.448
Open land,12-Jun-12,One,WET,0.19,94.847
Open land,13-Jun-12,One,WET,0.185,94.892
Open land,14-Jun-12,One,WET,0.186,93.521
Open land,15-Jun-12,One,WET,0.193,95.052
Open land,16-Jun-12,One,WET,0.21,98.849
Open land,17-Jun-12,One,WET,0.195,95.5
Open land,18-Jun-12,One,WET,0.193,95.189
Open land,19-Jun-12,One,WET,0.194,95.111
Open land,20-Jun-12,One,WET,0.194,96.594
Open land,21-Jun-12,One,WET,0.197,98.171
Open land,22-Jun-12,One,WET,0.206,99.254
Open land,23-Jun-12,One,WET,0.204,98.369
Open land,24-Jun-12,One,WET,0.212,99.156
Open land,25-Jun-12,One,WET,0.209,97.944
Open land,26-Jun-12,One,WET,0.204,97.629
Open land,27-Jun-12,One,WET,0.208,99.145
Open land,28-Jun-12,One,WET,0.207,94.771
Open land,29-Jun-12,One,WET,0.201,93.147
Open land,30-Jun-12,One,WET,0.2,95.091
Open land,01-Jul-12,One,WET,0.213,97.219
Open land,02-Jul-12,One,WET,0.222,97.509
Open land,03-Jul-12,One,WET,0.225,97.583
Open land,04-Jul-12,One,WET,0.214,95.293
Open land,05-Jul-12,One,WET,0.213,97.861
Open land,06-Jul-12,One,WET,0.209,94.781
Open land,07-Jul-12,One,WET,0.202,91.641
Open land,08-Jul-12,One,WET,0.219,98.165
Open land,09-Jul-12,One,WET,0.219,98.082
Open land,10-Jul-12,One,WET,0.221,96.726
Open land,11-Jul-12,One,WET,0.212,94.596
Open land,12-Jul-12,One,WET,0.211,93.359
Open land,13-Jul-12,One,WET,0.214,96.415
Open land,14-Jul-12,One,WET,0.225,100
Open land,15-Jul-12,One,WET,0.22,98.531
Open land,16-Jul-12,One,WET,0.225,99.93
Open land,17-Jul-12,One,WET,0.233,100
Open land,18-Jul-12,One,WET,0.234,100
Open land,19-Jul-12,One,WET,0.229,100
Open land,20-Jul-12,One,WET,0.228,97.348
Open land,21-Jul-12,One,WET,0.216,95.728
Open land,22-Jul-12,One,WET,0.215,99.605
Open land,23-Jul-12,One,WET,0.228,99.945
Open land,24-Jul-12,One,WET,0.223,94.331
Open land,25-Jul-12,One,WET,0.223,98.789
Open land,26-Jul-12,One,WET,0.251,100
Open land,27-Jul-12,One,WET,0.24,100
Open land,28-Jul-12,One,WET,0.234,100
Open land,29-Jul-12,One,WET,0.224,99.724
Open land,30-Jul-12,One,WET,0.22,98.547
Open land,31-Jul-12,One,WET,0.228,99.64
Open land,01-Aug-12,One,WET,0.225,98.419
Open land,02-Aug-12,One,WET,0.228,99.874
Open land,03-Aug-12,One,WET,0.228,100
Open land,04-Aug-12,One,WET,0.23,98.997
Open land,05-Aug-12,One,WET,0.223,95.412
Open land,06-Aug-12,One,WET,0.214,94.366
Open land,07-Aug-12,One,WET,0.219,96.713
Open land,08-Aug-12,One,WET,0.233,92.426
Open land,09-Aug-12,One,WET,0.232,93.777
Open land,10-Aug-12,One,WET,0.229,92.473
Open land,11-Aug-12,One,WET,0.228,95.728
Open land,12-Aug-12,One,WET,0.229,94.265
Open land,13-Aug-12,One,WET,0.225,94.884
Open land,14-Aug-12,One,WET,0.241,99.775
Open land,15-Aug-12,One,WET,0.238,99.437
Open land,16-Aug-12,One,WET,0.234,94.576
Open land,17-Aug-12,One,WET,0.221,91.056
Open land,18-Aug-12,One,WET,0.246,99.618
Open land,19-Aug-12,One,WET,0.246,100
Open land,20-Aug-12,One,WET,0.241,99.736
Open land,21-Aug-12,One,WET,0.228,95.438
Open land,22-Aug-12,One,WET,0.234,99.65
Open land,23-Aug-12,One,WET,0.229,96.078
Open land,24-Aug-12,One,WET,0.228,95.017
Open land,25-Aug-12,One,WET,0.222,95.556
Open land,26-Aug-12,One,WET,0.192,96.082
Open land,27-Aug-12,One,WET,NA,94.898
Open land,28-Aug-12,One,WET,NA,94.057
Open land,29-Aug-12,One,WET,NA,91.585
Open land,30-Aug-12,One,WET,NA,92.335
Open land,31-Aug-12,One,WET,0.74,96.804
Regenerating forest,01-Jun-12,One,WET,0.292,97.309
Regenerating forest,02-Jun-12,One,WET,0.295,99.675
Regenerating forest,03-Jun-12,One,WET,0.288,95.18
Regenerating forest,04-Jun-12,One,WET,0.282,94.935
Regenerating forest,05-Jun-12,One,WET,0.287,93.742
Regenerating forest,06-Jun-12,One,WET,0.291,94.926
Regenerating forest,07-Jun-12,One,WET,0.283,95.959
Regenerating forest,08-Jun-12,One,WET,0.298,98.802
Regenerating forest,09-Jun-12,One,WET,0.301,99.861
Regenerating forest,10-Jun-12,One,WET,0.307,97.416
Regenerating forest,11-Jun-12,One,WET,0.296,96.012
Regenerating forest,12-Jun-12,One,WET,0.287,93.985
Regenerating forest,13-Jun-12,One,WET,0.286,94.665
Regenerating forest,14-Jun-12,One,WET,0.293,95.13
Regenerating forest,15-Jun-12,One,WET,0.272,95.947
Regenerating forest,16-Jun-12,One,WET,0.295,100
Regenerating forest,17-Jun-12,One,WET,0.286,100
Regenerating forest,18-Jun-12,One,WET,0.283,98.329
Regenerating forest,19-Jun-12,One,WET,0.281,95.222
Regenerating forest,20-Jun-12,One,WET,0.279,96.653
Regenerating forest,21-Jun-12,One,WET,0.285,99.041
Regenerating forest,22-Jun-12,One,WET,0.291,98.581
Regenerating forest,23-Jun-12,One,WET,0.287,99.601
Regenerating forest,24-Jun-12,One,WET,0.296,99.486
Regenerating forest,25-Jun-12,One,WET,0.284,97.337
Regenerating forest,26-Jun-12,One,WET,0.279,96.714
Regenerating forest,27-Jun-12,One,WET,0.282,98.531
Regenerating forest,28-Jun-12,One,WET,0.288,98.018
Regenerating forest,29-Jun-12,One,WET,0.281,96.315
Regenerating forest,30-Jun-12,One,WET,0.277,97.438
Regenerating forest,01-Jul-12,One,WET,0.289,99.878
Regenerating forest,02-Jul-12,One,WET,0.296,98.828
Regenerating forest,03-Jul-12,One,WET,0.296,99.318
Regenerating forest,04-Jul-12,One,WET,0.289,97.695
Regenerating forest,05-Jul-12,One,WET,0.298,99.723
Regenerating forest,06-Jul-12,One,WET,0.289,98.865
Regenerating forest,07-Jul-12,One,WET,0.28,95.418
Regenerating forest,08-Jul-12,One,WET,0.295,99.789
Regenerating forest,09-Jul-12,One,WET,0.3,99.886
Regenerating forest,10-Jul-12,One,WET,0.295,98.977
Regenerating forest,11-Jul-12,One,WET,0.288,97.072
Regenerating forest,12-Jul-12,One,WET,0.296,98.831
Regenerating forest,13-Jul-12,One,WET,0.298,98.991
Regenerating forest,14-Jul-12,One,WET,0.303,100
Regenerating forest,15-Jul-12,One,WET,0.301,99.963
Regenerating forest,16-Jul-12,One,WET,0.307,100
Regenerating forest,17-Jul-12,One,WET,0.313,100
Regenerating forest,18-Jul-12,One,WET,0.31,100
Regenerating forest,19-Jul-12,One,WET,0.307,100
Regenerating forest,20-Jul-12,One,WET,0.305,99.799
Regenerating forest,21-Jul-12,One,WET,0.293,97.513
Regenerating forest,22-Jul-12,One,WET,0.297,99.97
Regenerating forest,23-Jul-12,One,WET,0.312,100
Regenerating forest,24-Jul-12,One,WET,0.302,99.891
Regenerating forest,25-Jul-12,One,WET,0.305,100
Regenerating forest,26-Jul-12,One,WET,0.331,100
Regenerating forest,27-Jul-12,One,WET,0.32,100
Regenerating forest,28-Jul-12,One,WET,0.315,100
Regenerating forest,29-Jul-12,One,WET,0.305,99.982
Regenerating forest,30-Jul-12,One,WET,0.3,99.549
Regenerating forest,31-Jul-12,One,WET,0.309,100
Regenerating forest,01-Aug-12,One,WET,0.306,99.725
Regenerating forest,02-Aug-12,One,WET,0.312,100
Regenerating forest,03-Aug-12,One,WET,0.308,100
Regenerating forest,04-Aug-12,One,WET,0.304,99.898
Regenerating forest,05-Aug-12,One,WET,0.299,97.737
Regenerating forest,06-Aug-12,One,WET,0.287,97.206
Regenerating forest,07-Aug-12,One,WET,0.295,99.086
Regenerating forest,08-Aug-12,One,WET,0.306,99.187
Regenerating forest,09-Aug-12,One,WET,0.309,100
Regenerating forest,10-Aug-12,One,WET,0.305,98.784
Regenerating forest,11-Aug-12,One,WET,0.299,97.911
Regenerating forest,12-Aug-12,One,WET,0.295,97.039
Regenerating forest,13-Aug-12,One,WET,0.295,97.393
Regenerating forest,14-Aug-12,One,WET,0.305,100
Regenerating forest,15-Aug-12,One,WET,0.303,100
Regenerating forest,16-Aug-12,One,WET,0.299,99.996
Regenerating forest,17-Aug-12,One,WET,0.293,97.59
